[06-Jun-2012 13:48:09] PHP Notice:  Undefined variable: data in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php on line 61
[06-Jun-2012 13:48:09] PHP Warning:  fopen(logs/sql_log_2012-06-06) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/Logging.php on line 62
[06-Jun-2012 14:26:06] PHP Notice:  Undefined variable: data in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php on line 61
[06-Jun-2012 14:26:06] PHP Warning:  fopen(logs/sql_log_2012-06-06) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/Logging.php on line 62
[06-Jun-2012 14:27:57] PHP Notice:  Undefined variable: data in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php on line 61
[06-Jun-2012 14:27:57] PHP Warning:  stripslashes() expects parameter 1 to be string, array given in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php on line 63
[06-Jun-2012 14:27:57] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php:61) in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/RestUtils.php on line 77
[06-Jun-2012 14:27:57] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php:61) in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/RestUtils.php on line 79
[06-Jun-2012 14:28:27] PHP Warning:  json_decode() expects parameter 1 to be string, array given in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php on line 61
[06-Jun-2012 14:28:27] PHP Warning:  stripslashes() expects parameter 1 to be string, array given in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php on line 63
[06-Jun-2012 14:28:27] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php:61) in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/RestUtils.php on line 77
[06-Jun-2012 14:28:27] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php:61) in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/RestUtils.php on line 79
[06-Jun-2012 14:28:49] PHP Warning:  stripslashes() expects parameter 1 to be string, array given in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php on line 63
[06-Jun-2012 14:28:49] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php:61) in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/RestUtils.php on line 77
[06-Jun-2012 14:28:49] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/mysql_connector.php:61) in /Users/gebruiker/Projects/ErfgoedGenk/multitouch-erfgoed-genk/api/RestUtils.php on line 79
